net,length_um
RF.registers\[10\]\[6\],1004.3
RF.registers\[15\]\[10\],1004.13
net89,1003.2
_0135_,1003.09
_0538_,1003.08
_0172_,1003.05
net399,1001.8
_0151_,1001.68
RF.registers\[0\]\[24\],1001.26
net83,1000.54
_1185_,999.92
_0729_,998.58
_0493_,997.99
RF.registers\[15\]\[22\],996.69
_0576_,996.315
_1140_,995.94
_0700_,994.13
net424,993.51
_1249_,992.94
RF.registers\[5\]\[29\],991.91
ID.pc\[2\],991.18
_0042_,991.01
net466,990.59
_1099_,988.84
_0897_,988.54
net405,987.55
net238,987.46
_0030_,987.02
_0948_,986.64
_0632_,986.47
RF.registers\[20\]\[9\],986.12
RF.registers\[25\]\[12\],985.58
_0837_,984.98
_0793_,980.82
_0531_,980.14
net296,978.48
_0177_,977.32
RF.registers\[20\]\[25\],977.3
net435,977.16
_1047_,975.26
RF.registers\[25\]\[22\],975
_0553_,972.9
_0739_,972.7
_0387_,972.16
SSD.count\[17\],971.9
SSD.count\[15\],970.96
_0037_,970.14
net338,969.63
net402,966
net329,965.7
net311,965.21
_0854_,964.88
_0353_,964.51
_0712_,963.86
_1259_,963.36
_0253_,962.94
net281,962.74
_0734_,962.07
_1212_,959.9
_0502_,959.36
_0265_,959.06
_0066_,959.02
RF.registers\[0\]\[25\],957.54
_0466_,956.44
_1106_,955.12
RF.registers\[25\]\[8\],954.62
_0925_,954.44
_0644_,954.4
net45,953.9
net343,952.565
net426,951.17
RF.registers\[5\]\[25\],951.13
_0044_,950.9
_1222_,950.6
_1083_,950.32
net244,950.32
RF.registers\[0\]\[6\],949.18
_1177_,948.94
RF.registers\[20\]\[14\],947.1
_0381_,946.62
_0059_,946.33
_0794_,945.86
_0294_,945.43
_0769_,944.53
_0736_,944.36
RF.registers\[10\]\[15\],944.35
RF.registers\[25\]\[19\],942.52
RF.registers\[20\]\[2\],941.82
RF.registers\[15\]\[16\],941.51
_0487_,941.155
_0575_,938.97
_1170_,937.84
_0182_,937.62
_0478_,937.58
_0459_,937.2
RF.registers\[5\]\[17\],936.79
_0116_,936.76
_0109_,936.39
_0949_,936.04
_1155_,935.44
net434,934.18
_1224_,933.96
_0833_,932.73
_1282_,932.02
RF.registers\[20\]\[6\],931.16
_0221_,931.02
_1108_,931.02
_0111_,930.63
_0032_,930.025
net438,928.06
_0096_,927.64
net353,927.61
RF.registers\[10\]\[10\],927.35
_0105_,925.5
_1124_,925.48
_0370_,924.62
_0499_,922.835
_0192_,922.2
_1126_,920.76
_0743_,920.6
net400,920.36
_0464_,920.28
RF.registers\[5\]\[14\],919.42
net313,917.74
_1060_,915.56
_0378_,915.22
_1221_,914.82
_0136_,914.815
_0532_,914.81
_0969_,913.24
_0012_,912.44
_0419_,912.3
_0968_,910.38
net449,909.58
_0161_,909.52
_1289_,908.32
net391,907.56
_0267_,906.93
net328,906.15
_0453_,903.96
RF.registers\[5\]\[9\],903.13
_0928_,902.83
_0416_,902.52
_0622_,901.56
net397,901.04
_0118_,900.94
net274,900.42
net314,900.4
_0840_,900
_0342_,899.67
_0748_,897.24
_0924_,896.94
_0128_,896.24
RF.registers\[10\]\[13\],896.01
_0592_,895.375
_0952_,894.06
net452,894.05
_0878_,893.87
ID.pc\[1\],892.96
RF.registers\[0\]\[7\],891.8
_0258_,890.12
net404,887.18
net98,886.96
net425,886.28
_0977_,886.1
net335,885.1
_0577_,883.72
_1217_,882.6
_0140_,881.745
_0642_,881.04
net275,880.42
_0658_,878.8
_0962_,877.7
net308,876.53
_0623_,875.72
RF.registers\[5\]\[13\],873.57
_0997_,872.96
_1002_,871.62
_0972_,869.84
net382,869.42
_1122_,868.9
SSD.count\[8\],867.74
_0669_,867.42
_0104_,866.06
net295,865.235
_1147_,865.12
_0839_,864.76
net69,864.32
_0382_,863.44
_0662_,863.06
_1153_,861.56
_0034_,861.34
_0053_,861.18
_0433_,861.09
_0950_,860.97
_0079_,860.58
_0361_,858.9
_0792_,857.22
_0498_,856.94
_1159_,855.46
_0217_,854.89
_0380_,854.88
net416,853.4
net125,852.16
_1117_,851.88
_0287_,851.24
_0781_,851.2
_0250_,850.93
RF.registers\[20\]\[16\],850.74
net133,849.84
_1204_,849.52
net413,848.98
_0654_,848.12
_1260_,847.62
_0102_,847.35
RF.registers\[0\]\[18\],846.72
_0175_,845.63
_0153_,845.14
RF.registers\[0\]\[9\],844.76
RF.registers\[25\]\[6\],844.36
_0746_,842.96
RF.registers\[15\]\[0\],842.8
_0001_,842.38
_1103_,841
net68,840.92
SSD.sel\[1\],840.86
RF.registers\[25\]\[11\],840.76
_1225_,839.78
_0533_,839.05
net414,838.94
_0145_,838.44
_0310_,837.64
_0967_,837.16
_0328_,837.02
clk,836.56
_1150_,836.38
_1175_,835.92
RF.registers\[20\]\[11\],835.1
RF.registers\[25\]\[28\],834.66
_1201_,834.24
_0569_,834.06
_1164_,832.78
_0166_,832.38
_0359_,831.6
_0448_,830.78
_0698_,830.4
RF.registers\[10\]\[26\],830.29
_1000_,828.155
net79,825.78
_0596_,825.74
_0717_,824.7
_0055_,824.62
_0281_,822.84
